EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	SurrogateLoss	TimestepsSoFar
-1302.22494049	200.0	0.000205377	1.41944	0.0	0.448207864674	0.00736258	2600
-1146.13839376	200.0	8.21693e-05	1.41951	0.367860501904	0.39212632609	-0.00551913	5200
-1226.11913813	200.0	0.000342416	1.41937	0.40556798548	0.409176132466	-0.00283668	7800
-1290.45768325	200.0	0.000588082	1.41855	0.462189254911	0.478317878833	-0.00992738	10400
-1191.83985791	200.0	0.00232313	1.41861	0.440333280217	0.453461536428	0.0112082	13000
-1152.42017541	200.0	0.00196086	1.41782	0.433710223156	0.442931105473	-0.0143906	15600
-1211.77073249	200.0	6.29046e-05	1.4174	0.232277824387	0.319196156102	0.00471152	18200
-1319.21912981	200.0	0.00062859	1.4171	0.274661071444	0.289285343608	0.00305192	20800
-1176.80313581	200.0	0.00152486	1.41736	0.344503516653	0.3787251852	0.00568197	23400
-1189.34908959	200.0	0.00309133	1.41732	0.404142318948	0.409615781774	-0.00232189	26000
-1304.94199733	200.0	0.00240571	1.41597	0.495943108877	0.513962244191	-0.0133971	28600
-1200.20080367	200.0	0.00162607	1.41392	0.277877058193	0.365328726277	-0.00971504	31200
-1178.33072208	200.0	0.00189655	1.4109	0.315162923088	0.324075314707	-0.018237	33800
-1293.70950507	200.0	0.00529683	1.40805	0.341497680853	0.346833613784	-0.00152342	36400
-1181.52551121	200.0	0.000840544	1.40701	0.407758879198	0.432547019511	0.0116548	39000
-1221.66601551	200.0	0.00130447	1.4047	0.349746051318	0.378646170259	-0.0138223	41600
-1359.62143645	200.0	0.000357261	1.40202	0.377157052115	0.397272245175	-0.00924997	44200
-1151.03338758	200.0	0.000635283	1.39743	0.114054296351	0.160655581318	-0.0100997	46800
-1123.54124877	200.0	0.0026011	1.38956	0.341684638573	0.37494350864	-0.0127191	49400
-1227.34891579	200.0	0.00826212	1.38415	0.401780737169	0.407679197254	0.0105151	52000
-1111.16209703	200.0	0.00774439	1.3818	0.440388522877	0.472767235229	0.00899215	54600
-1142.58768703	200.0	0.00422175	1.37993	0.309870502608	0.371721040032	-0.00714485	57200
-1170.43656234	200.0	9.74153e-05	1.37798	0.202530398976	0.246287957028	-0.0250592	59800
-1197.61238183	200.0	0.00634093	1.37569	0.209243443503	0.2124051805	0.00616197	62400
-1157.64626573	200.0	0.00189794	1.37398	0.344855935277	0.382975608926	-0.00886361	65000
-1111.94012062	200.0	0.00215213	1.37234	0.20064050087	0.307435213141	-0.00219832	67600
-1136.3540146	200.0	0.00248526	1.37072	0.371298738516	0.41843462234	-0.00328148	70200
-1314.41842447	200.0	0.00086866	1.36843	0.477386655172	0.503835255855	-0.0281778	72800
-1093.39516839	200.0	0.000277358	1.36535	0.450224301193	0.464835399589	0.000865512	75400
-1213.88201597	200.0	0.000502165	1.36103	0.404224335241	0.417084367201	-0.00131272	78000
-1021.20036967	200.0	0.00269133	1.35789	0.438761068414	0.452599733644	0.0210251	80600
-970.727288691	200.0	0.00102804	1.35521	0.351389508548	0.4407974683	0.00161839	83200
-981.108756996	200.0	0.003137	1.35055	0.443079178106	0.491715693747	-0.0209232	85800
-1139.59310235	200.0	0.00235094	1.34669	0.448273233528	0.477073084576	0.00339907	88400
-1126.22871412	200.0	0.009613	1.34467	0.506402999997	0.525223009049	0.0126608	91000
-1156.96360421	200.0	0.0133875	1.34231	0.457317935458	0.466502097819	-0.0156841	93600
-1111.67606307	200.0	0.0125263	1.34081	0.269907730777	0.377212262917	-0.00116011	96200
-1124.20047302	200.0	0.000891276	1.34009	0.248733748286	0.265523835811	0.00540429	98800
-1132.70782028	200.0	0.000677998	1.33886	0.320488158261	0.330093833693	-0.00504064	101400
-1201.3326115	200.0	0.00831328	1.33808	0.445211129942	0.450380013911	0.0117065	104000
-1176.23860398	200.0	0.000475271	1.33833	0.086296767564	0.195907956618	0.0141944	106600
-1160.16495575	200.0	0.0010632	1.33734	0.28147186394	0.322084260673	-0.0179692	109200
-1139.41633179	200.0	0.000896582	1.33629	0.274592683462	0.276709071846	-0.00192429	111800
-1168.44753978	200.0	0.0073927	1.33513	0.264309269745	0.271276206663	0.00239592	114400
-1068.45952463	200.0	0.0258421	1.33631	0.287857140353	0.316911093233	0.0254562	117000
-957.221593223	200.0	0.0192719	1.33773	0.395957590184	0.431278090259	0.0151489	119600
-989.051096972	200.0	0.00250907	1.33787	0.509452760198	0.549790408716	-0.0222017	122200
-1030.78073375	200.0	0.000652886	1.33771	0.497822071678	0.51737573411	-0.00946641	124800
-1168.45211713	200.0	0.0102518	1.33779	0.665752226922	0.677939422654	0.00662448	127400
-1002.62751776	200.0	0.00676277	1.33721	0.673046511825	0.684395961168	-0.0205016	130000
-992.524605184	200.0	0.00291662	1.33673	0.44740060651	0.488088010888	-0.00617489	132600
-954.589285792	200.0	0.0023666	1.33583	0.326408971913	0.360554864783	-0.0239081	135200
-1075.14497259	200.0	0.00306872	1.33514	0.414061885082	0.424141154073	0.00594942	137800
-1009.86351231	200.0	0.000255725	1.335	0.287798215233	0.327137245716	0.0238511	140400
-1068.98327123	200.0	0.00139538	1.33505	0.200426569963	0.235106730141	0.00811417	143000
-1047.04810468	200.0	0.00417835	1.3349	0.236103072963	0.240994125287	-0.00669687	145600
-982.072480621	200.0	0.00177537	1.33527	0.388236499358	0.436747454666	0.0233317	148200
-957.245535551	200.0	0.00436056	1.33566	0.517983570948	0.529807504693	0.00304729	150800
-958.012531326	200.0	0.000634723	1.33581	0.487761853051	0.513044119126	-0.00643645	153400
-907.992896044	200.0	0.00187902	1.33589	0.498699706674	0.514163358602	-0.00670121	156000
-1002.42110987	200.0	0.00116433	1.33561	0.727033937933	0.741966888508	-0.0173544	158600
-904.040275009	200.0	0.00156555	1.33509	0.467984782363	0.483913697736	-0.0135777	161200
-907.351407921	200.0	0.000742554	1.3345	0.587667396752	0.603723832283	-0.00548553	163800
-921.949867892	200.0	0.00234781	1.33341	0.609689712984	0.617216804675	-0.0101245	166400
-922.943652962	200.0	0.00378984	1.33223	0.563877762433	0.577615838994	-0.00659287	169000
-916.1197544	200.0	0.00326888	1.33108	0.589998072273	0.609043281421	-0.00221889	171600
-966.285304045	200.0	0.00292318	1.32964	0.614964036058	0.623597677742	-0.0137739	174200
-943.170291547	200.0	0.00281557	1.32826	0.496709159242	0.527883693066	-0.00209228	176800
-870.638303301	200.0	0.00203476	1.32606	0.474363199097	0.491182996895	-0.0354478	179400
-850.782667841	200.0	0.00352997	1.32383	0.593092609108	0.604557602696	-0.00798002	182000
-945.795611119	200.0	0.00969909	1.32228	0.634896307377	0.651661096875	0.0154578	184600
-851.73347681	200.0	0.00908076	1.32119	0.519699017955	0.52948640186	-0.0081266	187200
-830.050966501	200.0	0.000858845	1.3205	0.363619669796	0.375809194758	-0.00209206	189800
-927.474958878	200.0	0.00341562	1.31947	0.648831277915	0.665410110707	-0.00505698	192400
-903.215605782	200.0	0.00326123	1.31893	0.338741217287	0.39945287996	0.0195532	195000
-908.056230795	200.0	0.00341772	1.31797	0.418959905065	0.427878876235	-0.0251091	197600
-928.767501243	200.0	0.00385262	1.31727	0.437201295274	0.447262706495	0.00849647	200200
-831.953720141	200.0	0.00392886	1.31612	0.390235662254	0.403365805637	-0.0279989	202800
-940.580376115	200.0	0.00747578	1.31499	0.625140671887	0.635533691259	-0.00512486	205400
-859.99456683	200.0	0.00200049	1.31438	0.55974826109	0.566017578215	0.00607299	208000
-818.522729801	200.0	0.00261257	1.31383	0.506748007942	0.519461273299	-0.000197209	210600
-860.266554531	200.0	0.000707169	1.31306	0.582713045484	0.592149028422	-0.0224201	213200
-818.337752383	200.0	0.00174158	1.31192	0.423370812072	0.435101013214	-0.00462986	215800
-810.681543078	200.0	0.00668728	1.31141	0.505357501161	0.507409553175	0.026698	218400
-806.171515746	200.0	0.00327804	1.31096	0.422487287355	0.435668231448	-0.0115186	221000
-879.336624447	200.0	0.00161085	1.31045	0.571702913375	0.579439204928	-0.00869618	223600
-775.033285456	200.0	0.00287157	1.31003	0.468258681976	0.478135436736	0.00374979	226200
-780.272315767	200.0	0.00806208	1.30972	0.589585542003	0.591569057191	0.00540099	228800
-808.33067366	200.0	0.00474492	1.30958	0.545773033904	0.559239681713	0.00541245	231400
-767.411039091	200.0	0.000938512	1.30943	0.411580657778	0.416436663043	-0.012071	234000
-803.614869823	200.0	0.00107908	1.30913	0.491146657869	0.504708938626	-0.0102601	236600
-821.38293771	200.0	0.000937563	1.30874	0.474973020849	0.477274206694	-0.014948	239200
-803.328310663	200.0	0.00103167	1.30803	0.374019244204	0.384267275913	-0.0146803	241800
-786.422645595	200.0	0.00101863	1.30746	0.457071143494	0.46053988771	0.00614726	244400
-816.505477294	200.0	0.00238933	1.30674	0.427804172061	0.450365576545	-0.0168257	247000
-763.757349056	200.0	0.00214384	1.30607	0.497399084825	0.515502739315	-0.00134754	249600
-763.554202963	200.0	0.00412056	1.30524	0.439326474643	0.455922534007	-0.0172244	252200
-802.033817611	200.0	0.000666516	1.30466	0.537056812681	0.542786251276	-0.0107054	254800
-737.598282115	200.0	0.00174505	1.3037	0.520107756535	0.521986049111	-0.0129782	257400
-776.213568695	200.0	0.0042885	1.30285	0.633959887401	0.63495019302	0.000911929	260000
-777.817192584	200.0	0.00502948	1.3024	0.617452143802	0.619458143538	0.00748757	262600
-803.861790386	200.0	0.000760625	1.30207	0.564709207229	0.592198806875	-0.00934064	265200
-786.699027052	200.0	0.000518393	1.30165	0.400020032059	0.474551895462	0.00253521	267800
-771.539861419	200.0	0.000469762	1.30114	0.565152555615	0.566102355177	0.00360432	270400
-755.349647373	200.0	0.0107568	1.30066	0.526912925685	0.554118519491	0.0117431	273000
-706.558966117	200.0	0.00116998	1.30034	0.457523182394	0.470176708338	-0.0029538	275600
-711.067356049	200.0	0.000829678	1.29987	0.429611258024	0.435121785563	-0.0133098	278200
-742.229514219	200.0	0.00288057	1.29924	0.592147762148	0.595314805243	-0.000268033	280800
-774.669710926	200.0	0.0035261	1.29901	0.609696929791	0.614571274502	0.0176411	283400
-755.822729327	200.0	0.00287385	1.29918	0.491731488586	0.506564629713	0.0187013	286000
-759.585540698	200.0	0.00393192	1.29871	0.51105428342	0.519128159474	-0.0322831	288600
-730.646627864	200.0	0.00233493	1.29821	0.614780746466	0.625292097064	-0.00365163	291200
-736.727774224	200.0	0.00817103	1.29759	0.519073621131	0.538215035106	-0.009227	293800
-747.446281216	200.0	0.00099548	1.29719	0.578697795375	0.581981451983	-0.00185336	296400
-695.161575198	200.0	0.00305166	1.29672	0.460471793334	0.464775803068	0.00403478	299000
-712.934155457	200.0	0.00961163	1.29598	0.572163150653	0.576350535016	-0.0170848	301600
-763.983514546	200.0	0.00243177	1.29522	0.523976467083	0.546358931262	-0.0243289	304200
-772.001784073	200.0	0.000924919	1.29458	0.45075649663	0.467341490982	0.00338247	306800
-783.515863106	200.0	0.00969256	1.29371	0.459196856905	0.467792971243	-0.00011314	309400
-734.662780742	200.0	0.00583452	1.29336	0.50482593366	0.5361952388	0.0130146	312000
-756.942554519	200.0	0.00187189	1.2931	0.535657410109	0.545959744521	-0.00551144	314600
-792.555732767	200.0	0.00129974	1.29268	0.564345933678	0.567532813112	-0.02251	317200
-807.595084267	200.0	0.00145762	1.29249	0.578812239505	0.583982979004	0.0227671	319800
-859.446828351	200.0	0.000305268	1.29236	0.617126982638	0.622189241401	0.00481075	322400
-775.480067026	200.0	0.00490489	1.29219	0.466907185818	0.470189954952	-0.000446402	325000
-801.719151	200.0	0.00180655	1.29198	0.536297483895	0.542050847764	-0.0120007	327600
-736.533745044	200.0	0.00110541	1.29173	0.4825343991	0.485284399462	-0.00635265	330200
-762.724608227	200.0	0.00149949	1.29163	0.550129297602	0.55172596293	0.0139124	332800
-725.731571384	200.0	0.00448942	1.29127	0.526628104442	0.52796526225	-0.03231	335400
-758.383711919	200.0	0.000513218	1.29115	0.539525081025	0.545713965597	0.0173152	338000
-731.085390366	200.0	0.00884725	1.29082	0.500736649032	0.50306234301	-0.0213078	340600
-682.857520258	200.0	0.00259542	1.29051	0.570001813145	0.578580967729	-0.0187946	343200
-687.462675989	200.0	0.00260017	1.29023	0.465872201792	0.486104621036	-0.00123684	345800
-706.510131749	200.0	0.002121	1.29008	0.579310440383	0.594874948691	0.0180112	348400
-693.54257805	200.0	0.00179605	1.29015	0.552926378455	0.567876746221	0.0381689	351000
-676.742767054	200.0	0.00398553	1.2902	0.538874208354	0.543721897778	-0.00197267	353600
-697.87858452	200.0	0.00465932	1.29018	0.526058465767	0.539101656894	-0.0130601	356200
-767.126342526	200.0	0.000460841	1.29017	0.55133699188	0.564003911657	0.00143949	358800
-760.715171185	200.0	0.000189289	1.29007	0.443063524492	0.446243638929	-0.0165139	361400
-715.551107809	200.0	0.000528041	1.28988	0.430626534898	0.436028653411	-0.00690671	364000
-669.850868167	200.0	0.00559223	1.28944	0.415453955193	0.42049684541	-0.0147962	366600
-675.849127902	200.0	0.00359179	1.28906	0.46788131589	0.491633956459	-0.0137009	369200
-626.497085635	200.0	0.00226713	1.28877	0.539524785259	0.545302217145	0.00554691	371800
-733.408556407	200.0	0.00299454	1.2883	0.540836258803	0.54351406419	-0.0243964	374400
-683.379976536	200.0	0.00121239	1.28776	0.574629878429	0.578549516961	-0.0160666	377000
-675.464249403	200.0	0.00118332	1.28733	0.577981862245	0.580443912919	0.00787485	379600
-721.758628812	200.0	0.00180051	1.28697	0.60604587737	0.608624906704	0.00284771	382200
-741.18200014	200.0	0.001442	1.28663	0.580326151142	0.584168587905	-0.00106735	384800
-768.610757144	200.0	0.00102062	1.28644	0.651686120641	0.6539010458	0.0131594	387400
-654.991110542	200.0	0.00135032	1.28638	0.527548790051	0.536437802606	0.0141659	390000
-736.380266318	200.0	0.00293343	1.28612	0.567030468427	0.591605651209	-0.0247898	392600
-671.438860827	200.0	0.00314119	1.28568	0.549483180103	0.56737536723	-0.0267073	395200
