EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	SurrogateLoss	TimestepsSoFar
-762.562748638	1000.0	0.0023678	8.51263	-1.17600562673	-1.09358080846	-0.0659669	3000
-649.795349861	1000.0	-0.000397764	8.51027	-0.665758794858	-0.484178609133	-0.0531009	6000
-622.696501369	1000.0	0.00103188	8.50709	-0.760711895483	-0.466712931772	-0.0727563	9000
-666.428166923	1000.0	0.000377267	8.50427	-0.82466006586	-0.586310835928	-0.041234	12000
-633.052713282	1000.0	-8.5953e-05	8.50036	-0.938526710932	-0.246509722011	-0.0574553	15000
-669.807524364	1000.0	0.00161423	8.49321	-0.560964637576	-0.464738019095	-0.132662	18000
-657.548541867	1000.0	-0.00111643	8.48651	-0.373891604765	-0.148883261256	-0.0325547	21000
-630.214887331	1000.0	-0.00130473	8.47589	0.00524595003177	0.122066186732	-0.0933729	24000
-648.880859796	1000.0	0.0076625	8.46076	-0.0906422620868	0.0412224375702	-0.0909326	27000
-644.398513701	1000.0	-0.00327821	8.44993	-0.152322169842	0.0206220052835	-0.112556	30000
-669.855161248	1000.0	0.00286284	8.43277	-0.0036660199001	0.118456162635	-0.116255	33000
-631.83915284	1000.0	0.00267226	8.41497	0.130479710566	0.243877135765	-0.119225	36000
-639.194513477	1000.0	-0.00176561	8.39768	0.0197631095764	0.113939538312	-0.0574424	39000
-660.271176904	1000.0	0.00728607	8.37305	0.0357955231254	0.114573956191	-0.0373395	42000
-604.443012655	1000.0	-0.00821808	8.3565	0.0341962388818	0.1415006832	-0.0797718	45000
-567.488795433	1000.0	-0.00625033	8.33108	0.144488258848	0.224493592726	-0.0918561	48000
-614.473152855	1000.0	0.0145411	8.29418	0.00859670255129	0.142862826315	-0.0483379	51000
-617.559298141	1000.0	-0.00366175	8.26834	-0.00208347370068	0.143182221904	-0.112686	54000
-680.547092342	1000.0	0.0288989	8.23118	-0.0238503820294	0.206179656124	-0.0542676	57000
-645.448380313	1000.0	-0.00574792	8.20604	-0.143252058249	0.0735523142467	-0.0979771	60000
-590.832245275	1000.0	0.0164853	8.17027	-0.0465328199236	0.1947861661	-0.0360862	63000
-547.411470058	1000.0	0.00458129	8.14631	0.0289435827383	0.140918059372	-0.0774915	66000
-555.057059716	1000.0	0.00151309	8.13075	-0.00797443819398	0.0921438469859	-0.0613163	69000
-524.816005802	1000.0	2.90592e-06	8.11475	0.109255165669	0.200592371878	-0.096102	72000
-670.890422139	1000.0	0.0114082	8.09002	-0.0269965475216	0.251708489843	-0.0981177	75000
-608.165632891	1000.0	-0.0016322	8.07372	0.116269885322	0.229481813224	-0.0635558	78000
-623.957487283	1000.0	0.00346668	8.04836	-0.0772708818424	0.169336468805	-0.100429	81000
-647.385376816	1000.0	0.00295704	8.02315	0.0076249429985	0.187367870758	-0.0758896	84000
-663.254141748	1000.0	0.00369014	7.99843	0.173372394227	0.297658483047	-0.0569966	87000
-620.145935105	1000.0	0.00640858	7.97629	0.168846028548	0.321076054484	0.00645065	90000
-563.566592736	1000.0	0.00196326	7.96107	0.0951941953679	0.211475428531	-0.0958025	93000
-458.425581862	1000.0	0.00182547	7.94588	0.188132902822	0.253122846485	-0.0708856	96000
-490.660245037	1000.0	-0.000904938	7.93136	0.204489706379	0.288585712836	-0.0376025	99000
-472.950486443	1000.0	-0.00251989	7.90919	0.185515514701	0.245716534485	-0.0742124	102000
-402.276829313	1000.0	0.0108022	7.87663	0.208848349391	0.297580954833	-0.0561777	105000
-491.853443796	1000.0	-0.00361501	7.85532	0.0757039349489	0.232686012452	-0.0560606	108000
-455.266510313	1000.0	0.00790819	7.82404	0.188352587619	0.312899513196	-0.0511842	111000
-443.318719448	1000.0	-0.00742372	7.80302	-0.201801116523	0.0941115282178	-0.0664674	114000
-419.841626138	1000.0	-0.0011121	7.77288	0.0894233948807	0.181241086785	-0.0363512	117000
-401.173255591	1000.0	0.0156744	7.72874	0.232134152479	0.336648308486	-0.0483019	120000
-382.261961127	1000.0	-0.0017135	7.69672	0.137902567656	0.284780405419	-0.113517	123000
-436.494876037	1000.0	0.0288583	7.64825	0.199043654104	0.268950878978	-0.0725243	126000
-384.147968927	1000.0	-0.00412898	7.61504	0.303720271189	0.364878912899	-0.0932427	129000
-413.468964133	1000.0	0.00175896	7.56859	-0.143905486617	0.203094626586	-0.0195168	132000
-434.794279185	1000.0	-0.00646524	7.52576	0.0555397508931	0.216599151647	-0.0138698	135000
-396.234750989	1000.0	0.0330042	7.46273	0.172655017618	0.247321104635	-0.0488174	138000
-404.938873587	1000.0	0.000660224	7.42202	0.206630259981	0.273834455209	-0.0336463	141000
-414.645867372	1000.0	0.02578	7.35783	0.184574175394	0.283004083113	-0.0828097	144000
-229.428329334	1000.0	0.00416666	7.31346	0.179343506839	0.331111563519	-0.0753043	147000
-378.491966614	1000.0	-0.0110206	7.28379	0.0705823485861	0.278619394652	-0.0682786	150000
-380.774519454	1000.0	0.007112	7.24393	0.234487608291	0.288927329995	-0.00276619	153000
-232.752519011	1000.0	8.55137e-05	7.21596	0.285739190916	0.343246550097	-0.0803089	156000
-282.202957764	1000.0	0.104439	7.17033	0.266188500799	0.309649578044	-0.104765	159000
-116.664437507	1000.0	0.0110779	7.13972	0.36531519627	0.408924478647	-0.0616117	162000
-324.815564976	1000.0	0.00650297	7.1215	0.479962349227	0.60893833516	0.00589967	165000
-319.973586611	1000.0	0.00128752	7.10958	0.361583026693	0.461236209003	-0.0455275	168000
-324.982131518	1000.0	0.00384848	7.09767	0.496964135483	0.559621622841	-0.0504257	171000
-298.751320504	1000.0	0.00083173	7.08477	0.539570248134	0.582659574977	-0.0962278	174000
-217.629025711	1000.0	0.0195411	7.06412	0.61733764445	0.670566854054	-0.0938999	177000
-257.705987883	1000.0	0.000198773	7.05001	0.586505707699	0.628227922959	-0.0763775	180000
-171.861387162	1000.0	0.00851562	7.02988	0.58914964945	0.625035939542	-0.0313551	183000
-17.3904163565	1000.0	0.00303057	7.01722	0.621061808488	0.661359031457	-0.0239011	186000
-217.469297764	1000.0	0.000582234	7.00486	0.47333211342	0.537730402936	-0.0418241	189000
-146.609470661	1000.0	0.0189282	6.98677	0.71843891782	0.753940631963	-0.0433534	192000
-166.147911072	1000.0	0.00421188	6.97439	0.407838961032	0.51739422342	-0.0681487	195000
-7.57609431334	1000.0	-0.0019738	6.96639	0.476134010316	0.5476566749	-0.0382088	198000
32.3740831917	1000.0	0.00656693	6.95503	0.620775814173	0.646740997527	-0.0190184	201000
-60.3359309946	1000.0	-0.00145428	6.9483	0.389792079699	0.503437617141	0.00270326	204000
