EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	SurrogateLoss	TimestepsSoFar
-1213.0094618	200.0	0.000435081	1.41844	0.0	0.365231756421	-0.00586481	2600
-1242.44219134	200.0	0.000356089	1.41783	0.414351192441	0.422255939137	-0.00127113	5200
-1195.1359393	200.0	8.08189e-05	1.4169	0.409717812529	0.414911710755	-0.00258692	7800
-1206.39950541	200.0	0.000839843	1.41742	0.394562688896	0.41245956529	0.0178278	10400
-1199.94950311	200.0	0.00169251	1.4182	0.410701960046	0.434085549612	0.00151016	13000
-1138.75043244	200.0	0.00131604	1.41937	0.400520258722	0.404690807324	0.00908485	15600
-1224.73583206	200.0	0.000478626	1.41999	0.407660552548	0.417480560092	-0.00624876	18200
-1153.52264305	200.0	0.00430887	1.42187	0.371804408324	0.389504993049	0.0206788	20800
-1135.49417807	200.0	0.00201512	1.42244	0.344566175508	0.370670136976	-0.0123204	23400
-1187.7469433	200.0	0.00153306	1.42314	0.399586604981	0.40285532407	0.00567176	26000
-1125.51398452	200.0	0.0015386	1.42308	0.436976230238	0.446793618711	-0.0192165	28600
-1164.84948735	200.0	0.000444546	1.42259	0.390729085822	0.394090605142	-0.0142394	31200
-1306.24197541	200.0	0.0012788	1.42272	0.471944195434	0.478918496113	0.0176322	33800
-1325.67399186	200.0	0.00134968	1.42203	0.369473733978	0.380714666079	-0.0213447	36400
-1273.69129511	200.0	0.000178985	1.42228	0.0520308516542	0.151424425234	0.0239654	39000
-1335.87452188	200.0	0.000119322	1.42172	0.15597222508	0.171516846968	-0.0180899	41600
-1352.58452042	200.0	0.00220501	1.42012	0.293328582477	0.316735442537	-0.0120816	44200
-1241.59396522	200.0	0.0053883	1.41963	0.355208191257	0.372462235765	0.0133188	46800
-1163.55972401	200.0	0.00276018	1.41866	0.322983318186	0.335905806882	-0.0148343	49400
-1218.35664316	200.0	0.0082859	1.41722	0.397236018146	0.424680968889	-0.0127523	52000
-1221.74880514	200.0	0.00366586	1.41674	0.11916545747	0.207960219422	0.0125166	54600
-1224.46594478	200.0	0.00966566	1.41668	0.20399443341	0.207953179266	0.0125737	57200
-1242.38420699	200.0	0.0033318	1.4164	0.154797157712	0.170408463688	-0.0124846	59800
-1319.20687894	200.0	0.00312354	1.41648	0.112768529843	0.137740491116	0.0167884	62400
-1294.42130997	200.0	0.00023943	1.41694	0.000405624746692	0.0481618889366	0.0206422	65000
-1291.25303585	200.0	0.0035816	1.41774	0.0159289671741	0.0872537506687	0.00618797	67600
-1242.4829567	200.0	0.00947778	1.41787	0.0707624186131	0.0769356924045	-0.0204905	70200
-1238.12107163	200.0	0.00422996	1.41774	0.1882757179	0.25197485117	-0.0114547	72800
-1192.30321197	200.0	0.00163632	1.41785	0.125895270152	0.153272599029	0.0150273	75400
-1263.36521834	200.0	0.000613448	1.41793	0.276692585923	0.359534232666	-0.00119461	78000
-1211.75184812	200.0	0.000971398	1.41816	0.300702577033	0.327675309547	0.00662177	80600
-1118.87899831	200.0	0.00126909	1.41864	0.357695998925	0.373040040598	0.00548386	83200
-1173.36684494	200.0	0.00260931	1.41937	0.458551980126	0.470333629385	0.0106314	85800
-1274.83041799	200.0	0.000650154	1.42089	0.42532679161	0.432997549065	0.0343692	88400
-1027.35210724	200.0	0.00195847	1.42291	0.460143592301	0.501481651059	-0.00149453	91000
-1214.86808169	200.0	0.00200341	1.42509	0.440841196637	0.47792985247	0.00898167	93600
-1187.84811053	200.0	0.00121215	1.4267	0.534682531923	0.551396865821	-0.00910991	96200
-1176.29925879	200.0	0.000240733	1.42791	0.414763633805	0.457349987121	-0.00620308	98800
-1174.17586278	200.0	0.00397136	1.4302	0.390166201219	0.412689518393	0.0105123	101400
-1105.12761326	200.0	0.00337832	1.43139	0.329911387122	0.353440078524	-0.0140748	104000
-1108.67278086	200.0	0.0263746	1.43304	0.362571598062	0.372656413436	0.0093604	106600
-1057.52104393	200.0	0.0129107	1.43416	0.212562277758	0.266341561313	0.0026154	109200
-1164.1243049	200.0	0.008715	1.43511	0.343737472041	0.351438562061	0.00994992	111800
-1080.36217839	200.0	0.00813724	1.4358	0.352893014931	0.374083231417	0.00618738	114400
-1137.46227352	200.0	0.00193266	1.43594	0.51933610432	0.588757252396	-0.0214725	117000
-1128.00112374	200.0	0.00231209	1.43629	0.371046436847	0.39506578757	0.0187803	119600
-1100.61947928	200.0	0.00203063	1.43635	0.258255519645	0.281039078565	-0.0218019	122200
-1229.82999939	200.0	0.000901625	1.43624	0.202487523345	0.21465580509	-0.0126056	124800
-1246.28786424	200.0	0.000571135	1.43632	0.298359922276	0.315386926717	0.0121144	127400
-1237.51217348	200.0	7.31095e-05	1.43669	-0.0354685065039	0.0587071758366	0.00963175	130000
-1295.23204338	200.0	0.0020072	1.43782	0.109136854985	0.134380647288	0.0154788	132600
-1302.10393599	200.0	0.00612064	1.43869	0.205798841208	0.222758775372	-0.00376159	135200
-1159.41013187	200.0	0.00593065	1.43915	0.37641005982	0.405673294564	-0.00257204	137800
-1159.15204335	200.0	0.00304241	1.43935	0.546777812877	0.564230732791	-0.00371933	140400
-1064.24440414	200.0	0.00126635	1.43949	0.374348093257	0.420688158643	-0.00297257	143000
-1049.49241986	200.0	0.000437711	1.44023	0.3250604085	0.347685053348	0.0356879	145600
-1128.16226709	200.0	0.000354168	1.44126	0.397514329285	0.412095493657	0.000389911	148200
-1051.20627575	200.0	0.00766672	1.44294	0.34228397088	0.367625715176	0.00699935	150800
-1053.88011154	200.0	0.00213484	1.44348	0.194795996672	0.211320562016	-0.0172389	153400
-1103.42834792	200.0	0.000537465	1.44441	0.17621517604	0.195481542059	0.0165861	156000
-1123.86614439	200.0	0.00156326	1.44568	0.216640685128	0.221188096191	2.84202e-05	158600
-1073.15994344	200.0	0.00452782	1.44686	0.225145220473	0.22573244609	0.000826295	161200
-1082.49138229	200.0	0.00182366	1.44789	0.415018897218	0.488734102026	0.0114474	163800
-1040.85439325	200.0	0.00506908	1.44841	0.333952968781	0.354972789598	-0.0145372	166400
-974.984139878	200.0	0.000843368	1.44903	0.552296901835	0.633416851603	0.0168959	169000
-979.797356305	200.0	0.00158728	1.45053	0.366685186707	0.401087047498	0.0252767	171600
-1037.43543331	200.0	0.000856206	1.45239	0.492145683492	0.502546937638	0.0196874	174200
