EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1360.90677248	200.0	0.000392141	1.41844	0.000661601400592	0.253320767975	2600
-1096.68976912	200.0	0.00101031	1.41851	0.29604445055	0.330357949479	5200
-1384.45995037	200.0	0.000666512	1.41831	0.409747433762	0.461312436227	7800
-1161.67007344	200.0	0.000726074	1.4185	0.469564041817	0.502812405245	10400
-1128.22968246	200.0	0.000749152	1.41936	0.510705303992	0.53642381195	13000
-1134.40429494	200.0	0.00227205	1.42106	0.56464314777	0.594837653131	15600
-1157.59626113	200.0	0.0022027	1.42302	0.301686963553	0.443735270345	18200
-1257.81409434	200.0	0.00276223	1.42514	0.51997767534	0.544323403109	20800
-1140.97761331	200.0	0.00106261	1.42628	0.44473323619	0.544848766239	23400
-1108.93560101	200.0	0.000160026	1.42717	0.462911057523	0.493459719638	26000
-1183.69030255	200.0	0.000289998	1.42835	0.460083842875	0.493351000158	28600
-1377.84236904	200.0	0.000125088	1.43093	0.45019621593	0.491665013478	31200
-1198.38517326	200.0	0.00449349	1.43229	0.520877571733	0.598152802122	33800
-1075.89261902	200.0	0.000458783	1.43171	0.41284782	0.498603102942	36400
-1157.81792615	200.0	0.00532831	1.42852	0.553964577067	0.587502050109	39000
-1156.40328419	200.0	0.000557423	1.4261	0.461255743214	0.529229691804	41600
-1096.59607551	200.0	0.00481194	1.42692	0.386860805061	0.427456372432	44200
-1051.52336166	200.0	0.00365327	1.42628	0.45376027666	0.507266551413	46800
-1124.43405782	200.0	0.00114137	1.42575	0.503159755931	0.543781136535	49400
-1173.45490921	200.0	0.000107184	1.42512	0.459418087734	0.490423933664	52000
-1158.80823657	200.0	0.000983988	1.42408	0.534337455819	0.57196354679	54600
-1167.44885067	200.0	0.00130581	1.42459	0.469882834523	0.519342152929	57200
-994.207964961	200.0	0.020081	1.42602	0.452278899286	0.565453212764	59800
-1117.89119099	200.0	0.0106368	1.42715	0.319085363149	0.51589451294	62400
-1114.62935412	200.0	0.00497994	1.42721	0.267401106465	0.29498071101	65000
-1201.16418411	200.0	0.000517645	1.42683	0.30508618299	0.379141113991	67600
-1153.66500969	200.0	0.00552424	1.42624	0.181900589405	0.228093447539	70200
-1085.32444281	200.0	0.00851121	1.42563	0.291007580116	0.319858732264	72800
-1049.86823662	200.0	0.00439948	1.42518	0.407763066278	0.471306044241	75400
-1197.98908097	200.0	0.0011028	1.42486	0.607149527412	0.70612062238	78000
-1120.97297427	200.0	0.0011273	1.42463	0.609846628142	0.650949319696	80600
-1146.50822935	200.0	0.00106582	1.42458	0.547647803214	0.623154194476	83200
-1118.27467144	200.0	0.00046275	1.42463	0.558347562672	0.603817053148	85800
-1232.95557135	200.0	0.000306769	1.42438	0.532227108996	0.566838619148	88400
-1108.33094518	200.0	0.000345045	1.42425	0.429792465878	0.495475311191	91000
-1183.50884633	200.0	0.000488595	1.42399	0.390365482883	0.500176515078	93600
-1150.05996952	200.0	0.00131889	1.42412	0.316340251294	0.369739000296	96200
-1051.25856161	200.0	0.00264837	1.42527	0.357111406904	0.411869960662	98800
-1054.17789847	200.0	0.000653601	1.42611	0.322219814246	0.443083526934	101400
-1177.64185879	200.0	0.00193182	1.42678	0.501637544538	0.598209736537	104000
-1065.89390015	200.0	0.00366171	1.42805	0.519984430833	0.548526633616	106600
-1004.66499373	200.0	0.0058594	1.42849	0.471273479199	0.5335665804	109200
-1079.68287554	200.0	0.0011043	1.42891	0.543473480199	0.588532149653	111800
-1070.26378558	200.0	0.00493439	1.42978	0.583296347281	0.614842940884	114400
