EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	SurrogateLoss	TimestepsSoFar
-679.774793755	1000.0	0.00181069	8.51063	0.0	0.151089758058	-0.0909672	3000
-624.10170962	1000.0	8.03301e-05	8.50825	0.00798212637265	0.0899600658006	-0.0869102	6000
-625.43839581	1000.0	0.0017049	8.50513	0.0723580568502	0.121252998575	-0.032261	9000
-634.550904577	1000.0	-0.000739032	8.50196	0.0945197351862	0.158174365225	-0.0739688	12000
-612.047023245	1000.0	-0.000144241	8.49768	0.0539407450814	0.11534093129	-0.0524261	15000
-736.560748754	1000.0	0.000441397	8.49202	0.00370829819522	0.221581804815	-0.0356498	18000
-639.896880847	1000.0	0.00490179	8.4825	-0.409466202118	0.168369997322	-0.0978495	21000
-652.135274491	1000.0	0.000108787	8.4755	-0.0128035588721	0.103292772593	-0.0962798	24000
-699.714133124	1000.0	0.00511284	8.46574	0.0115284269854	0.0881275599355	-0.0413374	27000
-620.594187241	1000.0	-0.0028171	8.45908	0.0145210727283	0.23351787354	-0.0650697	30000
-647.564871163	1000.0	0.0037214	8.44911	-1.31112860104	0.327415521061	-0.0554881	33000
-661.781755828	1000.0	0.00174724	8.4387	-0.236046227923	0.0973241199621	-0.105	36000
-659.713872121	1000.0	-0.00114777	8.42779	0.0549444061602	0.230799803696	-0.107295	39000
-702.062667029	1000.0	0.00565499	8.41139	-0.130428862993	0.0925548664903	-0.0915194	42000
-677.206666158	1000.0	-0.00243546	8.40167	0.0489509023485	0.16590412319	0.00314355	45000
-670.465150753	1000.0	0.00388801	8.38739	0.14430305269	0.208962564679	-0.0560488	48000
-666.003970392	1000.0	0.00605696	8.37339	0.0606334548023	0.134190348354	-0.0560914	51000
-594.823170135	1000.0	-0.00234986	8.36398	-0.0338686185717	0.121386185757	-0.0637417	54000
-661.682552168	1000.0	0.00711283	8.35048	0.0108312451971	0.0977936290357	-0.0317043	57000
-602.616718398	1000.0	-0.000391373	8.34133	0.120637631093	0.449324456389	-0.0768342	60000
-627.783713133	1000.0	-0.00352606	8.32754	-0.352356876303	0.132254918064	-0.0593576	63000
-621.795152918	1000.0	0.00304003	8.3051	-0.14056522457	0.0612764261387	-0.116889	66000
-595.210016071	1000.0	-0.00467128	8.28144	-0.0299483077063	0.289595058965	-0.11125	69000
-579.625985989	1000.0	-0.00486488	8.24552	0.0878555548734	0.158332130304	-0.0881504	72000
-602.619912218	1000.0	0.0402467	8.1893	-0.0405914338658	0.0647411040058	-0.11239	75000
-487.867377548	1000.0	0.00466198	8.15339	0.0881881462056	0.251025322055	-0.0391857	78000
-494.932656498	1000.0	-0.00632532	8.1312	-0.193281544104	0.141541103026	-0.0185087	81000
-554.913948977	1000.0	-0.011876	8.09748	-0.011013221186	0.103509372367	-0.0822414	84000
-477.179472756	1000.0	-0.000437466	8.04749	0.0869013723672	0.127673748874	-0.0584059	87000
-448.266804367	1000.0	0.0830071	7.9812	-0.00697270752365	0.0898598093905	0.00861835	90000
-586.403841914	1000.0	0.035168	7.93836	0.0639668028695	0.152352344178	-0.0348839	93000
-524.383150723	1000.0	0.0159543	7.9089	-0.137581452733	0.0771883395249	-0.0713873	96000
-595.05857161	1000.0	0.00125906	7.8886	0.0934459221495	0.193667554576	-0.0846112	99000
-548.581305069	1000.0	0.00870706	7.86786	0.138945191456	0.238058642696	-0.0764529	102000
-548.073634457	1000.0	-0.00266659	7.85325	-1.2063872413	0.148380207303	-0.0947609	105000
-614.333233831	1000.0	0.0150581	7.83051	0.109270967831	0.26530237319	-0.0883615	108000
-498.3563146	1000.0	-0.00369059	7.81565	0.169900990658	0.217921437782	-0.0613829	111000
-500.162770223	1000.0	0.00297622	7.79288	-5.03680260107	0.11867588193	-0.0873213	114000
-471.941310887	1000.0	0.0071273	7.7702	0.130370283691	0.197081419095	-0.0665921	117000
-423.8492141	1000.0	-0.00341955	7.75473	-0.0189714344959	0.278105859671	-0.0906211	120000
-405.014422313	1000.0	0.00523421	7.731	0.103795266808	0.285246249218	-0.0850798	123000
-326.611538022	1000.0	-0.00282522	7.71498	0.1813497363	0.211087523828	-0.0828049	126000
-375.825747588	1000.0	0.00211092	7.69373	-1.99265919833	0.196417444443	0.0104318	129000
-301.608512198	1000.0	0.00642286	7.67213	0.112207487882	0.226246251251	-0.078215	132000
-324.478098433	1000.0	-0.00653195	7.65683	0.0823135962194	0.21208706178	-0.11322	135000
-300.637133198	1000.0	0.0010394	7.63475	0.0451345071418	0.145225099012	-0.0373104	138000
-266.832841643	1000.0	0.00537836	7.61169	0.179047057346	0.291841490573	-0.101205	141000
-206.735854828	1000.0	-0.00214623	7.59691	0.0902192740183	0.235862213837	-0.0387972	144000
-329.529695344	1000.0	-0.0065169	7.57593	-0.572157723006	0.47285007927	-0.0287969	147000
-236.060608932	1000.0	-0.00637326	7.5448	0.0707200335935	0.206355201832	-0.0545522	150000
-215.003930651	1000.0	-0.00605923	7.50134	0.16462089773	0.218329521008	-0.0161269	153000
-191.712564448	1000.0	0.0307174	7.43502	0.209952557428	0.248604811586	-0.0718568	156000
-129.463766125	1000.0	-0.00308437	7.38719	0.0404126937154	0.226859878403	-0.115241	159000
-135.192609406	1000.0	0.086679	7.31595	0.208087283568	0.241727037897	-0.0568675	162000
